condition,target,true,pred,n
noise_x4,valve,73,100,40
noise_x4,valve,80,73,38
noise_x4,valve,80,80,9
noise_x4,valve,80,90,26
noise_x4,valve,80,100,17
noise_x4,valve,90,73,11
noise_x4,valve,90,80,31
noise_x4,valve,90,90,1
noise_x4,valve,90,100,47
noise_x4,valve,100,73,25
noise_x4,valve,100,80,34
noise_x4,valve,100,90,31
noise_x4,valve,100,100,0
noise_x4,pump,0,0,103
noise_x4,pump,0,1,15
noise_x4,pump,0,2,2
noise_x4,pump,1,0,23
noise_x4,pump,1,1,72
noise_x4,pump,1,2,25
noise_x4,pump,2,0,0
noise_x4,pump,2,1,29
noise_x4,pump,2,2,91
noise_x8,valve,73,73,9
noise_x8,valve,73,80,32
noise_x8,valve,73,90,9
noise_x8,valve,73,100,40
noise_x8,valve,80,73,37
noise_x8,valve,80,80,11
noise_x8,valve,80,90,26
noise_x8,valve,80,100,16
noise_x8,valve,90,73,12
noise_x8,valve,90,80,34
noise_x8,valve,90,90,0
noise_x8,valve,90,100,44
noise_x8,valve,100,73,32
noise_x8,valve,100,80,38
noise_x8,valve,100,90,19
noise_x8,valve,100,100,1
noise_x8,pump,0,0,90
noise_x8,pump,0,1,20
noise_x8,pump,0,2,10
noise_x8,pump,1,0,33
noise_x8,pump,1,1,57
noise_x8,pump,1,2,30
noise_x8,pump,2,0,1
noise_x8,pump,2,1,34
noise_x8,pump,2,2,85
downsample_2,valve,73,73,86
downsample_2,valve,73,80,4
downsample_2,valve,73,90,0
downsample_2,valve,73,100,0
downsample_2,valve,80,73,2
downsample_2,valve,80,80,79
downsample_2,valve,80,90,9
downsample_2,valve,80,100,0
downsample_2,valve,90,73,3
downsample_2,valve,90,80,19
downsample_2,valve,90,90,59
downsample_2,valve,90,100,9
downsample_2,valve,100,73,1
downsample_2,valve,100,80,17
downsample_2,valve,100,90,10
downsample_2,valve,100,100,62
downsample_2,pump,0,0,119
downsample_2,pump,0,1,0
downsample_2,pump,0,2,1
