condition,family,target,split,n,n_sensors,balanced_accuracy,macro_f1,auroc_ovr_macro,log_loss,brier
bias_TS1,bias,valve,valid,240,17,0.5666666666666667,0.5197950709193895,0.8065393518518519,0.9556739407977362,0.5466982666666668
bias_TS1,bias,valve,test,360,17,0.6527777777777778,0.6389958107329851,0.8806378600823045,0.8055585072616221,0.4613201555555556
bias_TS1,bias,pump,train,849,17,1.0,1.0,1.0,0.007072232961777633,0.0009104923439340403
bias_TS1,bias,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.0875411606218426,0.034240933333333334
bias_TS1,bias,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05085629285697747,0.0168742
bias_FS1,bias,valve,train,849,17,1.0,1.0,1.0,0.0574167768655857,0.007965757361601886
bias_FS1,bias,valve,valid,240,17,0.5666666666666667,0.5197950709193895,0.8065277777777777,0.9556442220357813,0.5466678666666667
bias_FS1,bias,valve,test,360,17,0.6527777777777778,0.6389958107329851,0.8806378600823045,0.8055594600236888,0.4613249555555556
bias_FS1,bias,pump,train,849,17,1.0,1.0,1.0,0.007069846220734957,0.0009103698468786811
bias_FS1,bias,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.08756316481738473,0.03425633333333333
bias_FS1,bias,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05085629285697747,0.0168742
bias_EPS1,bias,valve,train,849,17,1.0,1.0,1.0,0.057409436941317914,0.007964786808009423
bias_EPS1,bias,valve,valid,240,17,0.5666666666666667,0.5197950709193895,0.8065393518518519,0.9556739407977362,0.5466982666666668
bias_EPS1,bias,valve,test,360,17,0.6527777777777778,0.6389958107329851,0.8806378600823045,0.8055699620315775,0.4613286444444444
bias_EPS1,bias,pump,train,849,17,1.0,1.0,1.0,0.007069846220734957,0.0009103698468786811
bias_EPS1,bias,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.0875411606218426,0.034240933333333334
bias_EPS1,bias,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05085629285697747,0.0168742
drift_PS1,drift,valve,train,849,17,1.0,1.0,1.0,0.05515531563178517,0.007554204946996467
drift_PS1,drift,valve,valid,240,17,0.5791666666666666,0.5321100247640407,0.8302546296296296,0.895863224391616,0.5126284666666667
drift_PS1,drift,valve,test,360,17,0.6944444444444444,0.6865608068866824,0.9038477366255144,0.7435362420227585,0.42419260000000003
drift_PS1,drift,pump,train,849,17,1.0,1.0,1.0,0.00723886976086219,0.000971580683156655
drift_PS1,drift,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9998437499999998,0.09143184863743252,0.03605953333333333
drift_PS1,drift,pump,test,360,17,0.9944444444444445,0.9944557787844209,1.0,0.05429483406471724,0.01885248888888889
drift_PS3,drift,valve,train,849,17,1.0,1.0,1.0,0.05788358546493288,0.008034779740871615
drift_PS3,drift,valve,valid,240,17,0.5916666666666667,0.5395114942528736,0.8164004629629631,0.9374195259706302,0.5345705666666667
drift_PS3,drift,valve,test,360,17,0.663888888888889,0.6507425742574257,0.8891820987654321,0.7829099909077251,0.44747555555555557
drift_PS3,drift,pump,train,849,17,1.0,1.0,1.0,0.007120645007255224,0.0009177573616018848
drift_PS3,drift,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999739583333334,0.08647171327107601,0.03270976666666667
drift_PS3,drift,pump,test,360,17,0.9944444444444445,0.9944443962182986,1.0,0.051507368449116055,0.01720771111111111
drift_TS1,drift,valve,train,849,17,1.0,1.0,1.0,0.0578823831256574,0.008100080094228506
drift_TS1,drift,valve,valid,240,17,0.5666666666666667,0.5206766917293233,0.8019444444444445,0.9658550120717667,0.549681
drift_TS1,drift,valve,test,360,17,0.6472222222222223,0.6333134245851088,0.8791306584362141,0.8091440502565242,0.4630442666666667
drift_TS1,drift,pump,train,849,17,1.0,1.0,1.0,0.007058651544502628,0.000903575971731449
drift_TS1,drift,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999218750000001,0.08834317609051011,0.03450160000000001
drift_TS1,drift,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05103031171336053,0.016841533333333335
drift_FS1,drift,valve,train,849,17,1.0,1.0,1.0,0.054310195675779126,0.007505592461719671
drift_FS1,drift,valve,valid,240,17,0.575,0.537109025039121,0.8143287037037037,0.9166970974974754,0.5344889666666667
drift_FS1,drift,valve,test,360,17,0.6694444444444444,0.6590683229813664,0.8978960905349794,0.7514639075001551,0.42914568888888893
drift_FS1,drift,pump,train,849,17,1.0,1.0,1.0,0.008066906669185058,0.0009592932862190814
drift_FS1,drift,pump,valid,240,17,0.9916666666666667,0.991691901545151,0.9999739583333334,0.09694130727113083,0.03869413333333333
drift_FS1,drift,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.060206482117105074,0.02021668888888889
drift_EPS1,drift,valve,train,849,17,1.0,1.0,1.0,0.05906357164223752,0.008325785630153123
drift_EPS1,drift,valve,valid,240,17,0.5833333333333333,0.5376760841841672,0.8164583333333333,0.9356106304195275,0.5358129666666667
