dataset,model,score,auroc,auprc,aurc,auroc_calib
HAR,M3_random_forest,ISO_RAW,0.7391503865812129,0.3467640594404341,0.04711022161727304,0.6628842924386524
HAR,M3_random_forest,ISO_FROZEN_ORACLE,0.8242059788755461,0.3760894830900034,0.022904835700766204,0.6937517751422182
HAR,M3_random_forest,COMBO_best_plus_iso,0.9601320741889829,0.7008083632504656,0.006815141875888053,
HAR,M4_hist_gradient_boosting,B1_max_prob,0.9183629538702389,0.4063262526419261,0.008698527466423462,0.8376908429235459
HAR,M4_hist_gradient_boosting,B2_entropy,0.9170233584173916,0.37470847821568876,0.008789174518517911,0.8372324815194219
HAR,M4_hist_gradient_boosting,B3_margin,0.9187578943623135,0.4041846193198352,0.008664565092417927,0.8386167944848971
HAR,M4_hist_gradient_boosting,B4_knn_dist,0.4693280674601057,0.07333155650186146,0.07970604985526507,0.6024499263237877
HAR,M4_hist_gradient_boosting,B5_mahalanobis,0.4666382024870577,0.07262586633888751,0.08256024107049266,0.623946768552101
HAR,M4_hist_gradient_boosting,B6_conformal_aps,0.8149161196207148,0.16872648489217743,0.019156207755721653,0.7573622377880525
HAR,M4_hist_gradient_boosting,ISO_FIT,0.8105032822757111,0.5012468845514664,0.025307536821303465,0.868634852078469
HAR,M4_hist_gradient_boosting,ISO_RAW,0.7462685239543861,0.3731184168211044,0.03808843134693345,0.5979709048177168
HAR,M4_hist_gradient_boosting,ISO_FROZEN_ORACLE,0.7734713846044369,0.3366614481174681,0.026292436299552087,0.7718959858000253
HAR,M4_hist_gradient_boosting,COMBO_best_plus_iso,0.8844354307875683,0.5537302382342706,0.014398529064194067,
