dataset,model,score,status,n_test,n_errors_test,test_accuracy,augrc,aurc,error_capture_5,residual_error_5,lift_5,error_capture_10,residual_error_10,lift_10,error_capture_20,residual_error_20,lift_20
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,ENTROPY_RISK,OK,320,150,0.53125,0.235107421875,0.4480493168242791,0.04,0.47368421052631576,0.7999999999999999,0.07333333333333333,0.4826388888888889,0.7333333333333333,0.2,0.46875,1.0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,MARGIN_RISK,OK,320,150,0.53125,0.235107421875,0.4480493168242791,0.04,0.47368421052631576,0.7999999999999999,0.07333333333333333,0.4826388888888889,0.7333333333333333,0.2,0.46875,1.0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,ISO_PRED,OK,320,150,0.53125,0.238583984375,0.48955542785955153,0.05333333333333334,0.46710526315789475,1.0666666666666667,0.09333333333333334,0.4722222222222222,0.9333333333333333,0.21333333333333335,0.4609375,1.0666666666666667
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,STANDARD_META,OK,320,150,0.53125,0.235107421875,0.4480493168242791,0.04,0.47368421052631576,0.7999999999999999,0.07333333333333333,0.4826388888888889,0.7333333333333333,0.2,0.46875,1.0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,ISO_META,OK,320,150,0.53125,0.22410156250000002,0.4328192489286586,0.07333333333333333,0.45723684210526316,1.4666666666666666,0.12,0.4583333333333333,1.2,0.21333333333333335,0.4609375,1.0666666666666667
adult,M1_logreg,MCP_RISK,OK,9768,1645,0.8315929565929566,0.043675002481820664,0.06012706564334542,0.139209726443769,0.15260265114775298,2.7841945288753798,0.2571428571428571,0.13900580138778296,2.571428571428571,0.47720364741641336,0.11005886869721014,2.386018237082067
adult,M1_logreg,ENTROPY_RISK,OK,9768,1645,0.8315929565929566,0.043675002481820664,0.06012706564334542,0.139209726443769,0.15260265114775298,2.7841945288753798,0.2571428571428571,0.13900580138778296,2.571428571428571,0.47720364741641336,0.11005886869721014,2.386018237082067
adult,M1_logreg,MARGIN_RISK,OK,9768,1645,0.8315929565929566,0.043675002481820664,0.06012706564334542,0.139209726443769,0.15260265114775298,2.7841945288753798,0.2571428571428571,0.13900580138778296,2.571428571428571,0.47720364741641336,0.11005886869721014,2.386018237082067
adult,M1_logreg,ISO_PRED,OK,9768,1645,0.8315929565929566,0.05690886050222659,0.09208938646909497,0.14711246200607903,0.1512016381075547,2.9422492401215803,0.252887537993921,0.1398020702991696,2.5288753799392096,0.4121580547112462,0.12375223957000256,2.060790273556231
adult,M1_logreg,STANDARD_META,OK,9768,1645,0.8315929565929566,0.043675002481820664,0.06012706564334542,0.139209726443769,0.15260265114775298,2.7841945288753798,0.2571428571428571,0.13900580138778296,2.571428571428571,0.47720364741641336,0.11005886869721014,2.386018237082067
adult,M1_logreg,ISO_META,OK,9768,1645,0.8315929565929566,0.04339556708260638,0.059623228363170286,0.14711246200607903,0.1512016381075547,2.9422492401215803,0.2729483282674772,0.1360482311454897,2.729483282674772,0.478419452887538,0.10980291783977476,2.39209726443769
