design_id,size,rep,split,n,n_fail,accuracy,auroc_fo_d_S,auprc_fo_d_S,auroc_entropy,auprc_entropy,auroc_top1_top2_margin,auprc_top1_top2_margin,auroc_snr_mean,auprc_snr_mean,auroc_count_above_3sigma,auprc_count_above_3sigma,auroc_smallest_singular_value,auprc_smallest_singular_value,auroc_design_size,auprc_design_size
37,24,17,test,315,58,0.8158730158730159,0.7633838722662015,0.4921691518370936,0.8719978532134711,0.5658373463777747,0.917986045887562,0.5987290248130462,0.7594257346035154,0.4933202043545723,0.7377230645377701,0.45395291265688836,0.734603515362941,0.445919012375104,0.5,0.18412698412698414
38,24,18,val,210,23,0.8904761904761904,0.8970006975122066,0.5747959058564043,0.9351313647988839,0.6246220802777803,0.9464078121367124,0.713356349141379,0.8856079981399675,0.5429773790741594,0.8423622413392234,0.5098427534850833,0.8938618925831202,0.5628397061285462,0.5,0.10952380952380952
38,24,18,test,315,43,0.8634920634920635,0.7327291381668947,0.32523379326991975,0.8773084815321477,0.5435589166911328,0.9156976744186046,0.5002182407053926,0.7283686730506155,0.31221505974379526,0.6872862517099863,0.282951349863375,0.7371751025991792,0.31146746969155925,0.5,0.1365079365079365
39,24,19,val,210,51,0.7571428571428571,0.9423480083857443,0.842346809010248,0.9362436798618818,0.8005171180925352,0.9236034036256012,0.7651030019014796,0.9590578369712666,0.8953600986797884,0.9476507584165742,0.8281084014590073,0.9234184239733629,0.8241353876460132,0.5,0.24285714285714285
39,24,19,test,315,79,0.7492063492063492,0.9348852177644282,0.8641631673905831,0.9414288779231923,0.7810128060517625,0.9416702424372453,0.8135868439570755,0.9475434456125296,0.9031548384303206,0.9422602445827075,0.8504502018654876,0.9097296717442609,0.8164341131217167,0.5,0.2507936507936508
40,16,0,val,210,44,0.7904761904761904,0.8684282584884995,0.527606399740615,0.9357886089813799,0.7703361719816395,0.9367469879518073,0.7271353692076697,0.8825301204819277,0.5766102945163964,0.8255065717415115,0.47325950658252636,0.8316675794085433,0.4877241208720504,0.5,0.20952380952380953
40,16,0,test,315,54,0.8285714285714286,0.8432311621966795,0.48546344691448423,0.8938555413651198,0.5536429742155295,0.9010571874556549,0.6116711771515027,0.8396835532850858,0.48388753189799233,0.7823541932737335,0.4084789432647804,0.7980701007520931,0.41993174848542236,0.5,0.17142857142857143
41,16,1,val,210,64,0.6952380952380952,0.8848994006849314,0.817085564480337,0.9354666095890412,0.8395512349676615,0.930757705479452,0.8106412311688418,0.8960830479452055,0.8391880812851766,0.8896083047945206,0.7886127339610011,0.9383561643835616,0.9257759269512987,0.5,0.3047619047619048
41,16,1,test,315,104,0.6698412698412698,0.8573186292380605,0.7993836394419659,0.9286820998906307,0.8516983727453467,0.9118665694495078,0.744025835921382,0.8794203426904849,0.8419047552543644,0.8740430185927816,0.7895959968531873,0.9061702515493985,0.8803168673574726,0.5,0.33015873015873015
42,16,2,val,210,44,0.7904761904761904,0.9303121577217963,0.7815943139735659,0.9463307776560789,0.7841339985430081,0.9395536692223438,0.7829925566808297,0.9211391018619934,0.7413385112629116,0.8838307776560788,0.6710016362123103,0.9179216867469879,0.7664795236444912,0.5,0.20952380952380953
