start_h,dur_h,strength,n_sensors,rmse,mae,bias,maxerr,spearman,curve
0,6,10000.0,40,32.05642340797547,24.996339459136376,24.996339459136376,58.590318242940356,0.9411239481143202,93.6;96.1;96.8;97.2;97.5;97.7
0,1,100.0,92,34.63370750663558,26.748169729568172,26.748169729568172,63.94666069027339,-0.870967741935484,98.9;98.9;98.9;98.6;98.6;95.4
0,2,100.0,92,34.75905637149633,27.3233975795607,27.3233975795607,63.94666069027339,-0.739249324360437,98.9;99.0;99.0;98.9;98.9;98.3
0,1,1000.0,92,34.760378849778746,27.353279545794084,27.353279545794084,63.94666069027339,-0.4173650061841515,98.9;98.9;98.9;98.9;98.9;98.4
0,1,10000.0,92,34.783653005116236,27.446660690273394,27.446660690273394,63.94666069027339,,98.9;98.9;98.9;98.9;98.9;98.9
0,2,1000.0,92,34.786376381301835,27.433587330046283,27.433587330046283,63.94666069027339,0.07184212081070995,98.9;99.0;99.0;99.0;99.0;98.8
0,6,100.0,92,34.79016588362479,27.44852831316297,27.44852831316297,63.94666069027339,0.07184212081070995,98.9;99.0;99.0;99.0;99.0;98.9
0,2,10000.0,92,34.79447459346441,27.465336919169246,27.465336919169246,63.94666069027339,0.6956083436402525,98.9;99.0;99.0;99.0;99.0;99.0
0,6,10000.0,92,34.79447459346441,27.465336919169246,27.465336919169246,63.94666069027339,0.6956083436402525,98.9;99.0;99.0;99.0;99.0;99.0
0,6,1000.0,92,34.79447459346441,27.465336919169246,27.465336919169246,63.94666069027339,0.6956083436402525,98.9;99.0;99.0;99.0;99.0;99.0
2,6,100.0,5,36.5374759034738,34.806813088301205,-34.806813088301205,49.25593904078891,0.9240616554505461,5.2;5.2;32.6;40.7;67.7;68.8
2,2,100.0,5,37.186907733208734,35.44554011653966,-35.44554011653966,51.35141192290452,0.9240616554505461,5.2;5.2;32.6;38.6;67.4;67.4
2,1,100.0,5,37.624886505509046,35.85641715224862,-35.85641715224862,52.84177498879427,0.9240616554505461,5.2;5.2;32.7;37.2;66.9;66.8
