noise_scale,design_id,design_size,B_star,B_star_support,B_dynamic,B_dynamic_support
8.0,75,10,0.7538461538461538,325,0.0,12
8.0,76,10,0.7538461538461538,325,1.0,12
8.0,77,10,0.8153846153846154,325,1.0,12
8.0,78,10,0.8153846153846154,325,1.0,12
8.0,79,10,0.8153846153846154,325,1.0,12
8.0,80,6,1.0,325,1.0,12
8.0,81,6,0.8153846153846154,325,1.0,12
8.0,82,6,0.7538461538461538,325,1.0,12
8.0,83,6,0.7538461538461538,325,1.0,12
8.0,84,6,0.8153846153846154,325,1.0,12
8.0,85,6,0.8153846153846154,325,1.0,12
8.0,86,6,0.7538461538461538,325,1.0,12
8.0,87,6,0.6923076923076923,325,0.0,12
8.0,88,6,0.8153846153846154,325,1.0,12
8.0,89,6,0.6923076923076923,325,0.0,12
8.0,90,6,0.8153846153846154,325,1.0,12
8.0,91,6,0.8153846153846154,325,1.0,12
8.0,92,6,0.6923076923076923,325,1.0,12
8.0,93,6,0.8153846153846154,325,1.0,12
8.0,94,6,0.7538461538461538,325,1.0,12
8.0,95,6,0.7538461538461538,325,0.0,12
8.0,96,6,0.8153846153846154,325,1.0,12
8.0,97,6,0.7569230769230769,325,1.0,12
8.0,98,6,0.7538461538461538,325,1.0,12
8.0,99,6,0.8153846153846154,325,1.0,12
8.0,100,3,0.8153846153846154,325,1.0,12
8.0,101,3,0.8153846153846154,325,1.0,12
8.0,102,3,0.8153846153846154,325,1.0,12
8.0,103,3,0.9384615384615385,325,1.0,12
8.0,104,3,0.7538461538461538,325,1.0,12
8.0,105,3,0.8184615384615385,325,1.0,12
8.0,106,3,0.7538461538461538,325,1.0,12
8.0,107,3,0.7538461538461538,325,1.0,12
8.0,108,3,0.7538461538461538,325,1.0,12
8.0,109,3,0.8184615384615385,325,1.0,12
8.0,110,3,0.8153846153846154,325,1.0,12
8.0,111,3,0.9384615384615385,325,0.0,12
8.0,112,3,0.8153846153846154,325,1.0,12
8.0,113,3,0.8276923076923077,325,1.0,12
8.0,114,3,0.7538461538461538,325,1.0,12
8.0,115,3,0.8153846153846154,325,1.0,12
8.0,116,3,0.8153846153846154,325,1.0,12
8.0,117,3,0.7630769230769231,325,1.0,12
8.0,118,3,0.9384615384615385,325,1.0,12
8.0,119,3,0.8769230769230769,325,0.0,12
