budget,noise,demand,seed,method,false_forgetting_rate,recall,precision,f1,false_positives,battledim_score_eur
4,0.0,1.0,4,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,106831.96
4,0.0,1.0,4,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,157574.25
4,0.0,1.0,4,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4583333333333333,0.619718309859155,26,91994.52
4,0.0,1.0,4,centrality,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,34644.76
4,1.0,0.0,0,FO,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,80320.16
4,1.0,0.0,0,D_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,103698.4
4,1.0,0.0,0,A_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,103698.4
4,1.0,0.0,0,E_optimal_observable_subspace,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,92305.29
4,1.0,0.0,0,bayesian_information_gain,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,103698.4
4,1.0,0.0,0,D_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.45652173913043476,0.608695652173913,25,77597.74
4,1.0,0.0,0,A_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,6522.31
4,1.0,0.0,0,E_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4772727272727273,0.6268656716417911,23,90357.65
4,1.0,0.0,0,goal_oriented_oed,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,94011.01
4,1.0,0.0,0,topological_dispersion,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,97450.62
4,1.0,0.0,0,centrality,0.08695652173913049,0.9130434782608695,0.5675675675675675,0.6999999999999998,16,34604.12
4,1.0,0.0,1,FO,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,29979.15
4,1.0,0.0,1,D_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,132849.05
4,1.0,0.0,1,A_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,132849.05
4,1.0,0.0,1,E_optimal_observable_subspace,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,72191.52
4,1.0,0.0,1,bayesian_information_gain,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,132849.05
4,1.0,0.0,1,D_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4772727272727273,0.6268656716417911,23,127836.76
4,1.0,0.0,1,A_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,69943.61
4,1.0,0.0,1,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,112499.47
4,1.0,0.0,1,goal_oriented_oed,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,115242.91
4,1.0,0.0,1,topological_dispersion,0.08695652173913049,0.9130434782608695,0.4883720930232558,0.6363636363636364,22,94020.33
4,1.0,0.0,1,centrality,0.08695652173913049,0.9130434782608695,0.5833333333333334,0.7118644067796611,15,28932.76
4,1.0,0.0,2,FO,0.08695652173913049,0.9130434782608695,0.525,0.6666666666666667,19,64948.92
4,1.0,0.0,2,D_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,113312.12
4,1.0,0.0,2,A_optimal_bayesian,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,113312.12
4,1.0,0.0,2,E_optimal_observable_subspace,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,60258.56
